,Municipio,UF,NomeEstacao,CodEstacao,Latitude,Longitude,Altitude,StatusEstacao
997,Andorinha,BA,Açude Quicé,50376000,-10.4883,-40.01,0.0,Ativo
998,Saúde,BA,Fazenda Porteira,50380400,-10.8489,-40.2681,0.0,Ativo
999,Jacobina,BA,Açude Cachoeira Grande Montante,50418400,-11.3864,-40.4803,0.0,Ativo
1000,Jacobina,BA,Açude Cachoeira Grande Jusante,50418600,-11.3511,-40.4275,0.0,Ativo
1001,Jacobina,BA,Jacobina,50420001,-11.2114,-40.4703,0.0,Manutenção
1002,Filadélfia,BA,Açude Ponto Novo Montante Mont.2,50424800,-10.7522,-40.2244,0.0,Ativo
1003,Pindobaçu,BA,Açude Ponto Novo Montante Mont. 1,50424900,-10.8489,-40.2681,0.0,Ativo
1004,Ponto Novo,BA,Açude Ponto Novo,50425000,-10.8539,-40.1742,0.0,Ativo
1005,Ponto Novo,BA,Açude Ponto Novo,50425000,-10.8539,-40.1742,0.0,Ativo
1006,Filadélfia,BA,Açude Ponto Novo Jusante,50425100,-10.8544,-40.1706,0.0,Ativo
1007,Jacobina,BA,Açude Pedras Altas Montante,50428900,-11.1869,-40.1936,0.0,Ativo
1008,Jacobina,BA,Açude Rio Do Peixe Montante I,50454800,-11.2225,-40.0283,0.0,Ativo
1009,Capim Grosso,BA,Açude Rio Do Peixe Montante II,50454900,-11.2642,-39.9661,0.0,Ativo
1010,Capim Grosso,BA,Açude Rio Do Peixe,50455000,-11.2303,-39.9656,347.0,Ativo
1011,Queimadas,BA,Queimadas,50465000,-10.9733,-39.6328,265.0,Ativo
1012,Queimadas,BA,Queimadas,50465002,-10.9733,-39.6328,0.0,Manutenção
1013,Andorinha,BA,Açude Andorinha II Montante,50467900,-10.2556,-39.8211,0.0,Ativo
1014,Andorinha,BA,Açude Andorinha II,50468000,-10.3003,-39.7847,0.0,Ativo
1015,Itiúba,BA,Açude Jacurici,50475500,-10.6528,-39.7217,0.0,Ativo
1016,Itiúba,BA,Açude Jacurici Jusante,50475600,-10.6544,-39.7264,0.0,Ativo
1017,Araci,BA,Açude Araci Montante (Olaria Do Capistana),50496600,-11.2714,-39.1647,0.0,Ativo
1018,Araci,BA,Açude Araci,50497000,-11.2525,-39.0983,0.0,Ativo
1019,Tucano,BA,Ponte Euclides Da Cunha,50520000,-11.0603,-38.8372,140.0,Ativo
1020,Cipó,BA,Cipó,50540000,-11.0975,-38.5125,131.0,Ativo
1021,Cipó,BA,Cipó,50540001,-11.0975,-38.5125,0.0,Manutenção
1022,Conde,BA,Usina Altamira,50595000,-11.7347,-37.8033,17.0,Ativo
1023,Conde,BA,Usina Altamira,50595001,-11.7347,-37.8033,0.0,Manutenção
1024,Esplanada,BA,Corte Grande,50660000,-12.0536,-37.755,6.0,Ativo
1025,Mata De São João,BA,Pedra Do Salgado,50785000,-12.3761,-38.1331,34.0,Ativo
1026,Camaçari,BA,Tiririca,50795000,-12.5119,-38.0667,22.0,Ativo
1027,Mata De São João,BA,Açude Santa Helena Montante,50842900,-12.5256,-38.2928,0.0,Ativo
1028,Dias D''Avila,BA,Açude Santa Helena,50843000,-12.5617,-38.1617,0.0,Ativo
1029,Mata De São João,BA,Açude Santa Helena Jusante,50843100,-12.5628,-38.1606,0.0,Ativo
1030,São Sebastião Do Passé,BA,Açude Joanes II Montante Mont.3,50903260,-12.6058,-38.4289,0.0,Ativo
1031,Candéias,BA,Açude Joanes II Montante Mont.2,50903280,-12.6086,-38.4386,0.0,Ativo
1032,Dias D''Avila,BA,Açude Joanes II,50905300,-12.6739,-38.3758,0.0,Ativo
